,Year,Std_sealevel,Std_avgT,Std_slp,Std_avgRH,Std_PP,Std_avgW,Std_CO2pc
0,1954,-1.38170427434621,-0.9005008899925913,0.5506867147441,0.6238514708130608,-0.8922656703408682,-0.018254189663475147,-1.2870038579262126
1,1954,-1.3334509895117383,-0.6958844573974177,0.9288038437355844,0.017965342988598247,-0.8325727998571889,0.3058406504525733,-1.28734526090629
2,1954,-1.3032926864901937,0.12258127298328622,0.6347127434088478,0.10976627144685022,-0.6533424911495216,0.8189908139696497,-1.2875501026943368
3,1954,-1.7586830621155185,0.9410470033639877,-0.4576256292332079,0.4586097995882062,-0.8017024081331007,1.4401725908587426,-1.2878232250783987
4,1954,-1.9547120317555589,0.12258127298328622,-0.9197687868894879,1.5785811267788818,0.04985014195618458,0.17080113373755312,-1.2880280668664452
5,1954,-2.1718518135106804,0.19078675051500993,-1.0878208442190314,1.2297375986375234,0.07283227633554269,0.41387226382458947,-1.288232908654492
6,1954,-2.099471886258973,-0.2866515922070657,-1.0458078298866813,1.5051403840122792,0.751146559354023,0.44088016716759343,-1.2883694698465231
7,1954,-1.9516962014534043,-0.3548570697387919,-1.2558729015486223,1.5235005697039286,0.5874652194508717,0.38686436048158535,-1.288506031038554
9,1954,-1.0258362986919827,-0.6958844573974177,0.6767257577412455,1.7254626123120846,-0.3835489202340867,-0.18030160972149925,-1.2887108728266006
10,1954,-1.137422019871698,-1.7189666203732952,1.1388689153975255,0.4586097995882062,-0.9307967735247425,-0.23431741640750736,-1.2888474340186318
11,1954,-1.0047254865769015,-2.60563782828572,1.6010120730538056,-0.40431892791936297,-0.9076629418887551,0.7919829106266458,-1.2888474340186318
12,1955,-1.1193270380587712,-3.151281648539522,2.6513374313635114,-1.5242902551100361,-0.9346650535687928,1.4131646875157386,-1.2889157146146473
13,1955,-1.188691135008324,-1.1733228001194933,0.21458260008496552,0.5320505423548089,-0.8594990629089121,4.167970828502151,-1.2889157146146473
14,1955,-1.1615486622889337,-0.08203515961188976,0.3826346574145566,0.2566477569800529,0.6258446253781167,4.248994538531162,-1.2889157146146473
15,1955,-1.5113849773388521,0.19078675051500993,-0.12152151457412118,0.6238514708130608,-0.5319846858459805,3.3037179215260206,-1.2888474340186318
16,1955,-1.7074139469788925,0.19078675051500993,-1.2138598872162245,1.1746570415625728,0.6335053368379027,2.2234017878058596,-1.288779153422616
17,1955,-2.045186940820193,-0.2866515922070657,-1.6760030448725047,1.48678019832063,-0.31422327395443883,4.303010345217171,-1.2887108728266006
18,1955,-2.3075641771076314,-0.2866515922070657,-1.2558729015486223,1.1379366701792715,0.6241001069268783,3.89789179507211,-1.288642592230585
20,1955,-1.9516962014534043,-0.6958844573974177,-0.7517167295599446,2.0375857690701418,1.1151441266363316,3.0876546947819894,-1.2883694698465231
21,1955,-1.5445591106625511,-0.7640899349291413,-0.0795085002417234,1.5235005697039286,-0.23147242046308675,3.4657653415840453,-1.2881646280584764
22,1955,-1.6802714742595022,-2.2646104406270946,0.46666068607930444,0.9726949989544168,-0.7478498820296542,3.3577337282120294,-1.2880280668664452
23,1955,-1.5415432803603968,-2.9466652159443463,1.05484288673273,-0.385958742227711,-0.9307967735247425,2.250409691148864,-1.2878232250783987
24,1956,-1.4932899955259253,-2.9466652159443463,0.5086737004117022,-0.4593994849943136,-0.9346650535687928,3.2767100181830173,-1.2875501026943368
25,1956,-1.6501131712379575,-0.6276789798656915,-0.12152151457412118,0.31172831405500356,-0.9346650535687928,5.032223735478279,-1.28734526090629
26,1956,-1.671223983353039,0.46360866064191203,-0.0795085002417234,0.054685714371896954,-0.9346650535687928,6.193563579227453,-1.2870721385222281
